100,195,1
91,188,1
82,182,1
74,176,1
65,170,1
57,164,1
48,158,1
40,152,1
31,146,1
22,140,1
14,134,1
5,128,1
-2,122,1
-11,116,1
-20,110,1
-20,110,1
-24,112,1
-28,114,1
-32,115,1
-36,117,1
-40,118,1
-44,119,1
-48,120,1
-52,121,1
-56,122,1
-60,123,1
-64,124,1
-68,126,1
-72,127,1
-76,129,1
-80,130,1
-84,132,1
-88,133,1
-92,135,1
-96,136,1
-100,138,1
-104,139,1
-108,141,1
-112,142,1
-116,144,1
-120,145,1
-124,147,1
-128,148,1
-132,150,1
-135,151,1
-138,153,1
-148,160,1
-148,157,1
-148,154,1
-148,151,1
-151,150,1
-155,150,1
-160,152,1
-163,153,1
-166,155,1
-169,156,1
-172,158,1
-174,159,1
-177,161,1
-179,162,1
-182,164,1
-185,166,1
-188,166,1
-191,167,1
-194,168,1
-197,169,1
-200,170,1
-203,171,1
-206,173,1
-209,174,1
-213,176,1
-216,175,1
-220,175,1
-220,175,1
-223,171,1
-227,167,1
-231,164,1
-235,160,1
-239,156,1
-242,153,1
-246,149,1
-250,145,1
-254,142,1
-258,138,1
-262,135,1
-262,130,1
-264,125,1
-268,121,1
-273,118,1
-273,118,1
-283,118,1
-294,118,1
-305,118,1
-316,118,1
-327,118,1
-338,118,1
-349,118,1
-360,118,1
-360,118,1
-360,107,1
-360,97,1
-360,87,1
-360,76,1
-360,66,1
-360,56,1
-360,45,1
-360,35,1
-360,25,1
-360,25,1
-350,25,1
-340,25,1
-330,25,1
-320,25,1
-310,25,1
-300,25,1
-290,25,1
-280,25,1
-280,25,1
-275,23,1
-270,22,1
-265,21,1
-260,20,1
-255,18,1
-250,17,1
-245,16,1
-240,15,1
-235,13,1
-230,12,1
-225,10,1
-220,9,1
-215,7,1
-210,6,1
-205,5,1
-200,4,1
-195,0,1
-190,-3,1
-185,-6,1
-180,-10,1
-180,-15,1
-180,-20,1
-180,-25,1
-180,-30,1
-180,-35,1
-180,-40,1
-180,-45,1
-180,-50,1
-180,-55,1
-180,-60,1
-183,-65,1
-186,-70,1
-190,-75,1
-192,-80,1
-195,-85,1
-198,-90,1
-199,-95,1
-200,-100,1
-202,-105,1
-203,-110,1
-205,-115,1
-205,-115,1
-195,-120,1
-185,-125,1
-175,-127,1
-165,-130,1
